odiNumber,dateComplaintFiled,make,model,modelYear,components,crash,fire,numberOfInjuries,numberOfDeaths,summary
11743760,06/12/2026,HYUNDAI,ELANTRA,2020,POWER TRAIN,False,False,0,0,"Reporting on 2020 Hyundai Elantra.   I have owned since 2023, my car is currently at a Hyundai certified dealership for it's 3rd transmission in the three years I have owned it.  All 3 transmission were inspected and then replaced by Hyundai certified technicians.  The Safety aspect is the inability to get you vehicle off the highway."
11742932,06/09/2026,HYUNDAI,ELANTRA,2020,"POWER TRAIN,VEHICLE SPEED CONTROL,ENGINE",False,False,0,0,"Currently, there are 30,564 miles on my vehicle and I am the original owner of the vehicle since early 2021.  This is a continuous intermittent problem that can occur at any time when trying to accelerate the vehicle.  The vehicle could be moving down the road and you go to accelerate and the RPM's drop dramatically, giving you no power.  The same thing has happened when trying to accelerate from a stop.  The vehicle would start to accelerate and then all of a sudden the RPM's drop, giving you n"
11740572,05/28/2026,HYUNDAI,ELANTRA,2020,FORWARD COLLISION AVOIDANCE,False,False,0,0,"Around 9 p.m., I was driving home on the XXX highway at about 60 mph. The road was clear, with no obstacles ahead, and it was lightly drizzling in the [XXX]  area. Suddenly, the car's emergency braking system activated, then returned to normal. Although it startled me, thankfully there were no cars behind me to avoid a collision. INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)"
11740154,05/26/2026,HYUNDAI,ELANTRA,2020,ENGINE,False,False,0,0,"The contact owns a 2020 Hyundai Elantra.  The contact stated that while driving, the vehicle unexpectedly stalled.  The vehicle was able to restart.  The check engine light illuminated.   The vehicle was  taken to an independent mechanic Camshaft sensor failure.  The camshaft sensors were replaced; however, the issue persisted.  The vehicle was then taken to the dealer where it was diagnosed with engine failure but the vehicle was not repaired. The manufacturer was notified of the issue.  The co"
11739852,05/25/2026,HYUNDAI,ELANTRA,2020,"UNKNOWN OR OTHER,SERVICE BRAKES,ENGINE",False,False,0,0,"This complaint documents a recurring automatic transmission failure resulting in three complete vehicle shutdowns during active operation — two at highway speed and one in an active turning lane. The most recent failure occurred within 15 minutes of the vehicle being released from an authorized Hyundai dealership in College Park, Maryland, whose general manager admitted in a recorded call that the vehicle was released knowing the transmission was unrepaired and unsafe. The first failure occurred"
11739559,05/22/2026,HYUNDAI,ELANTRA,2020,POWER TRAIN,False,False,0,0,I bought a 2020 Hyundai Elantra in 2024 with 67k miles on it. After driving 22k miles the check engine light went on and when it was brought in to get it checked the transmission went out. I did not buy a warranty so I understood it would not be covered. The issue I had was it was very hard to get information on the condition of the car that was sold to me. What I found out was that the transmission fluid was likley not changed ever and definetly not checked before the car was sold since the che
11738079,05/15/2026,HYUNDAI,ELANTRA,2020,"POWER TRAIN,ENGINE",False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The contact stated that while driving at an unknown speed and at a stop, the vehicle lunged forward. The RPM increased and decreased without applying the accelerator pedal. The check engine light was illuminated. A mobile mechanic reset the codes but was unable to determine the failure. The vehicle was taken to an independent mechanic who referred him to the local dealer. The local dealer was contacted, who stated there was a transmission pressure sensor "
11735846,05/05/2026,HYUNDAI,ELANTRA,2020,"POWER TRAIN,VEHICLE SPEED CONTROL",False,False,0,0,"The Contact owns a 2020 HYUNDAI Elantra. The contact stated while operating the vehicle at an undisclosed speed, he noticed that his RPM were going back and forth while on cruise control, after removing cruise control the vehicle stayed the same. The vehicle was pulled over and restarted but the vehicle was hesitating to accelerate and noticed a issue with the gears not. The vehicle was towed to a independent mechanic but was not fully diagnosed due to the transmission driving forward when in ne"
11735866,05/05/2026,HYUNDAI,ELANTRA,2020,SERVICE BRAKES,False,False,0,0,"I am submitting this complaint to document ongoing brake related concerns on my 2020 Hyundai Elantra that may affect vehicle safety. Since April 2024, I have experienced repeated brake rotor warpage that causes vibration during braking, reduced braking consistency, and a noticeable change in stopping behavior. These symptoms raise concerns about braking performance and overall vehicle control. I reported the issue to Hyundai Motor America and followed their required warranty process, including a"
11734908,04/30/2026,HYUNDAI,ELANTRA,2020,BACK OVER PREVENTION,False,False,0,0,"The contact owns a 2020 Hyundai Elantra. The stated that the backup camera was inoperable. No warning lights were illuminated. The contact stated that failure was related to NHTSA Campaign Number: 24V879000 (Back Over Prevention). The local dealer was not contacted. The vehicle was not diagnosed or repaired. The manufacturer was contacted, who confirmed there was no recall. But no assistance was provided. The failure mileage was approximately 19,100."
